Comm_Area,Comm_Area_No,Hardship_Score,Crowded_Housing_Per,Below_Poverty_Household_Income,Unemployment_Rate,No_High_School_Diploma,Under_18_over_64,Per_Capita_Income
Rogers Park,1,39.4,6.6,22.6,7.7,9.5,26.2 $2,"5,874"
West Ridge,2,47.3,7.7,16.8,8.6,11.7,37.9 $2,"4,721"
Uptown,3,31.5,4.7,21.3,6.6,7.8,24.3 $3,"7,869"
Lincoln Square,4,21.7,1.7,10.8,4.2,6.0,25.8 $4,"4,432"
North Center,5,16.9,0.7,5.2,3.6,4.4,32.2 $6,"4,494"
Lakeview,6,9.9,1.6,9.2,3.1,1.6,19.5 $6,"7,066"
Lincoln Park,7,10.3,1.1,10.7,3.1,1.7,22.9 $7,"3,965"
Near North Side,8,8.6,1.9,10.8,3.9,1.9,23.7 $9,"1,948"
Edison Park,9,21.8,1.0,4.3,2.9,3.6,37.7 $5,"1,423"
Norwood Park,10,28.2,1.3,8.0,4.7,5.7,38.7 $4,"0,219"
Jefferson Park,11,31.3,2.9,7.4,5.7,8.2,35.2 $3,"5,183"
Forest Glen,12,26.7,1.0,6.5,3.8,3.8,42.8 $4,"7,342"
North Park,13,42.8,5.0,15.5,7.0,8.7,42.7 $2,"8,173"
Albany Park,14,45.7,8.6,16.5,7.1,14.3,32.0 $2,"5,848"
Portage Park,15,36.2,3.5,13.2,7.0,10.7,33.0 $2,"8,866"
Irving Park,16,32.3,3.5,10.3,5.8,10.3,30.2 $3,"1,043"
Dunning,17,33.4,2.0,9.6,5.1,9.0,37.4 $2,"9,080"
Montclare,18,43.9,4.7,15.6,7.5,15.3,36.9 $2,"6,831"
Belmont Cragin,19,55.9,8.2,18.7,9.2,22.2,36.6 $1,"7,965"
Hermosa,20,54.3,6.6,22.3,7.4,24.0,35.1 $1,"7,896"
Avondale,21,38.6,3.3,16.4,5.5,16.4,30.5 $2,"6,860"
Logan Square,22,25.6,2.7,13.0,4.2,7.9,26.0 $4,"1,065"
Humboldt Park,23,60.3,9.1,30.1,12.1,16.9,38.5 $1,"5,849"
West Town,24,18.7,2.0,11.5,4.7,7.0,21.0 $5,"4,429"
Austin,25,53.1,4.4,28.1,15.4,13.6,38.6 $1,"7,586"
West Garfield Park,26,68.3,8.0,40.5,20.0,15.5,43.0 $1,"2,483"
,,,,,,,,
West Pullman,53,54.3,3.2,23.9,25.1,10.1,41.1,"$18,007"
Riverdale,54,84.2,10.5,58.8,35.6,9.3,47.6,"$9,601"
Hegewisch,55,37.0,3.0,15.2,8.3,9.5,34.3,"$27,546"
Garfield Ridge,56,38.7,3.6,6.3,9.4,12.4,37.5,"$28,925"
Archer Heights,57,56.1,9.7,15.9,9.2,17.9,40.2,"$18,497"
