Comm_Area_No,Majority_Cluster,Per_Capita_Income
1,2,25874.00
2,1,24721.00
3,2,37869.00
4,2,44432.00
5,0,64494.00
6,0,67066.00
7,0,73965.00
8,0,91948.00
9,2,51423.00
10,2,40219.00
11,2,35183.00
12,2,47342.00
13,2,28173.00
14,2,25848.00
15,2,28866.00
16,2,31043.00
17,2,29080.00
18,2,26831.00
19,1,17965.00
20,1,17896.00
21,2,26860.00
22,2,41065.00
23,1,15849.00
24,0,54429.00
25,1,17586.00
26,1,12483.00
27,1,14638.00
28,2,50394.00
29,1,13236.00
30,1,11345.00
31,1,21131.00
32,0,77722.00
33,0,82859.00
34,1,19067.00
35,1,24056.00
36,1,20884.00
37,1,17515.00
38,1,24616.00
39,2,42491.00
40,1,14203.00
41,2,41719.00
42,1,19117.00
43,1,20067.00
44,1,21416.00
45,1,22578.00
46,1,16996.00
47,1,17678.00
48,2,27488.00
49,1,19755.00
50,1,23659.00
51,1,16207.00
52,1,17931.00
53,1,18007.00
54,1,9601.00
55,2,27546.00
56,2,28925.00
57,1,18497.00
58,1,15552.00
59,1,19923.00
60,2,25373.00
61,1,14267.00
62,1,19283.00
63,1,13605.00
64,2,25722.00
65,1,18633.00
66,1,14618.00
67,1,14836.00
68,1,12777.00
69,1,16719.00
70,2,23990.00
71,1,18473.00
72,2,44979.00
73,1,22275.00
74,2,36365.00
75,2,29636.00
76,2,28606.00
77,2,38748.00
